codigo,info_extra
21700058,Buen centro. Bien situado
21700290,MALO. Está CUENCA MINERA
21700307,MALO
21700356,Bueno. Es un IESO.
21700381,Buen centro.
21700411,Buen centro. Muy grande. Tiene sus cosas malas como todo IES pero en general la gente esta contenta. El jefe de estudios es de Clasicas y es un hombre conciliador.
21700496,Buen centro. Pequeño. Centro de Adam
21700502,Buen centro.
21700526,"Buen centro. Clase media-alta. Se trabaja bien, padres muy exigentes"
21700551,"Buen centro. Clase media-alta. Se trabaja bien, padres muy exigentes"
21700575,MALO. Alumnado condición social baja
21700587,Buen centro
21700630,Buen centro. Muy grande.
23000106,Buen centro.
23000131,Muy Buen centro. Tercero mejor. Hay gitanos pero si me dan bilingüe way
23000210,Nada de compañerismo
23000246,MALO
23000261,Buen centro.
23000556,Muy bueno. El mejor.
23000817,Muy bueno.
23000830,Muy bueno.
23001111,Muy bueno.
23001287,Bueno.
23002401,"Buen centro. Grande 1500 alumnos, buenas instalaciones"
23002413,Buen centro
23002449,Buen centro
23002474,Buen centro
23002841,Muy bueno.
23002851,No tiene mala fama. FP. Centro grande. Al lado del fronton y pistas de tenis con puerta propia de acceso. Al lado del Alcampo.
23003119,Buen centro.
23003132,Buen centro.
23003934,Buen centro
23003983,Buen centro
23004240,MALO
23004252,Buen centro
23004264,Buen centro
23005049,"Regu, mejor que Vilches"
23005062,Buen centro
23005074,Era malo y ha dado un cambio brutal a positivo (Facebook)
23005141,MUY BUENO.
23005372,"Buen centro. Organización, directiva y claustro buenos. Claustro cambiante por la ubicación geográfica que tiene. Tiene una pista, acceso a pabellón y pistas de padel municipales (anexas)"
23005529,Buen centro. En este centro estuve el curso 17-18: mucho profesorado mayor y muy mal rollo entre la directiva y las vacas sagradas. Antes no tenia 1o y 2o de ESO pero ya si. Muchos alumnos vienen de La Magdalena (el barrio chungo de Jaen) pero los alumnos que tuve y los que hubo ese ano eran buenos en el trato. Habia un solo profe de E.F. y daba tambien clase a los ciclos. Es un instituto viejo y enano (el patio parece el patio de una carcel). Es centro de compensatoria. Esta en pleno centro de Jaen. Hay clase por las tardes tambien. El claustro rondaba los 100 profes.
23005694,Muy bueno.Segundo mejor.
23005906,Para unos buen centro y para otros regular.
23005979,MALO
23006029,"Estuve alli el curso pasado. Sin duda el mejor centro en el que he estado. Me pude desarrollar como profesional de una manera increible. Claustro poco numeroso (entre 35 y 45), muy buen rollo. Son Comunidad de aprendizaje y se lo curran mogollon. Todos los profes son muy simpaticos y dinamicos: puedes contar con ellos para cualquier cosa. Para mi era el paraiso. El profe de E.F. es mayor pero esta lejos de jubilarse. El alumnado es heterogeneo: hay alumnado que la lia en 1 y 2 de ESO al principio de curso pero luego deja de venir. Hay alumnado un poco idiota de comportamiento pero en general son muy buenos; ademas el centro acoge en bachillerato a alumnos de Sabiote que son muy buenos. Insisto: el mejor con diferencia de los que he estado. Tuve alumnos maravillosos y educados."
23600021,Buen centro
23700220,Buen centro
23700281,Malo
23700301,"Grande, alumnado heterogeneo. Equipo directivo competente (2020). Para algunos, malo."
23700335,Buen centro
23700347,Buen centro.
23700359,Centro Regu (Alumnado)
23700499,"Centro Regu (como Vilches). Buen ambiente compañeros. Alumnado controlado por dirección, pero nivel medio-bajo y pueblo aislado. Instalaciones deportivas buenas"
23700542,Buen centro.
23700554,"Regular, mejor que Vilches pero con gitanos."
23700578,Más o menos como Vilches. Regu.
23700581,Muy bueno.
23700611,Regular: hay gitanos
23700633,Buen centro.
23700669,Buen centro
23700670,Buen centro. Aunque hay gitanillos. Estuvo Mercedes (conserje y puede que se vaya allí)
23700700,MALO
23700724,MUY BUENO. ESPECTACULAR
23700748,Buen centro. Pequeño. No tiene Bachillerato. Profesorado y equipo de dirección muy unido y coordinado. Normas claras. Alumnado bueno en general y familias comprometidas. Aparcamiento en la misma puerta.
23700815,Muy buen centro. Sólo ESO
23700827,Para unos buen centro y para otros malo.
23700840,Buen centro
23700852,Buen centro.
23700888,Buen centro
29000062,Buen ambiente de trabajo
29000074,Buen centro
29000335,Buen centro.
29000529,Diversidad de alumnado pero bien integrados en la vida del centro. Buen eqdirectivo
29001145,Alquileres caros y más perdido de la costa.
29001650,Buen centro
29002885,nº2 de Estepona.
29003041,Compensatoria. Alumnado regular.
29004080,nº5 de Estepona.
29004109,"En principio buenos centros (por Julia, pádel Málaga). Centro grande."
29005187,Buen centro
29005916,Buen centro
29005953,MALO
29005965,Buen centro con Bach y Ciclos
29005977,"MALO. Tiene bilinüe de Francés, pero el resto del alumnado no es fácil."
29005989,Buen centro
29006179,Buen centro
29006830,"En general de Marbella, hablan de alumnado conflictivo."
29006854,"En general de Marbella, hablan de alumnado conflictivo."
29007214,Buen centro. Compensatoria pero bien. Si no tienes cargos el director te pone 6h de guardia.
29007241,Buen centro
29007299,"En general de Marbella, hablan de alumnado conflictivo."
29008012,Buen centro
29008671,Buen centro Buen centro. Turno partido
29008681,Buen centro
29009107,Buen centro.
29009119,nº4 de Estepona
29009260,Buen centro
29009892,Buen ambiente entre compañeros. Realizan numerosas actividades extraescolares y la conocida feria de la ciencia
29009909,nº3 de Estepona
29009922,Buen centro.
29009934,Buen centro
29009958,El peor de los 3 de Torremolinos. Malo. Compensatoria o dificil desempeno. Ciudad desangelada. Muy masificada.
29010201,Buen centro
29010444,Buen Centro.
29010857,Alquileres caros y más perdido de la costa.
29010870,Buen centro
29011311,"Muy accesible desde Málaga. PERO el Equipo Directivo es nefasto: autoritarios y creando mal compañerismo. Lo peor son los padres que se creeen que es su cortijo, y por tanto, alumnado regular."
29011539,Buen centro
29011540,Buen centro. Equipo directivo muy eficiente y profesorado competente y familiar
29012052,"Alquileres caros y más perdido de la costa. Buen centro, buen nivel académico y buenos compañeros."
29012076,"Buen centro (aunque es de compensatoria, es equipo docente trabajador e instalaciones muy buenas)."
29012106,Buen centro
29016264,Buen centro
29017839,Buen centro
29700023,"En principio buenos centros (por Julia, pádel Málaga). Centro grande. Buenas vistas al mar"
29700047,Buen centro
29700059,Buen centro. Muy grande 1000 y pico alumnos. Pijetes hijos de abogados suelen reclamar rápido. Bilingüe
29700096,Buen centro
29700126,"En general de Marbella, hablan de alumnado conflictivo."
29700242,"Instalaciones enormes,pero buen ambiente de trabajo y estrictos en cuanto exigencia de rendimiento"
29700345,Buen centro. Bachillerato internacional.
29700369,Vive Ángel Luis. Buen centro.
29700412,Barrio difícil
29700424,Ciudad desangelada. Muy masificada.
29700503,Buen centro. Tienen TAFAD.
29700527,MALO
29700621,Buen centro
29700692,Buen insti. Buen claustro y buen dpto EF (4 profes). Es el insti de Chechi Brescia (muy activo en Telegram y Facebook)
29700722,MALO / Equipo directivo que no genera buen ambiente
29700758,Muy conflictivo. MALO
29700761,Buen centro. Niños buenos (Axarquía interior)
29700849,Ángel Luis médico allí
29700928,Alumnos de todo tipo
29700941,Buen centro. Niños buenos (Axarquía interior)
29700953,El nº1 de Estepona. Buen claustro. Buen departamento de EF. Instituto tranquilo. En Estepona todos buenos.
29701040,Buen centro. IESO. 10 líneas. Das a las 10 líneas (20h)
29701064,Buen centro
29701076,"Buen equipo directivo, mal alumnado, aunque es llevadero, disciplinariamient va bien"
29701091,MALO. Situado en plena Palmilla. Muy dífícil dar clase
29701118,MALO
29701131,"Centro complejo. Equipo directivo muy permisivo. El director no se impone y los padres y los alumnos son los que mandan. Poca disciplina o nula. Ratio pequeña, buenos compañeros, poca carga burocrática. Familias cerradas y un poco especiales."
29701155,Buen centro
29701209,"Cortijo, el director hace lo que le da la absoluta gana."
29701222,MALO
29701246,Mal Alumnado pero buen claustro
29701295,Buen centro
29701349,"Muy bueno, excelente. Para algunos, malo. Compensatoria o dificil desempeno. Ciudad desangelada. Muy masificada."
29701350,Buen centro
29701428,El peor de Fuengirola. Alumnado muy conflictivo.
29701431,"En principio buenos centros (por Julia, pádel Málaga). Centro grande."
41000272,Buen centro
41000284,Buen centro
41001513,Buena zona. MALOS
41001707,Buena zona. MALOS
41001719,Buena zona. MALOS
41002359,Centro Regu (como Vilches)
41002955,Buen centro
41003741,Buen centro
41003765,Buen centro.
41011002,Horrible.
41011014,Buen centro
41011038,Buena zona. MALOS
41011491,Buena zona. MALOS
41700105,Buen centro
41700181,Buena zona. MALOS
41700361,Buena zona. MALOS
41700877,Buena zona. MALOS
41700889,Centro organizado. Equipo directivo cercano. Dpto EF muy buen ambiente. Posibilidad organizar activ con entidades deportivas localidad. Alumnado bueno y claustro tb. (Facebook pero coinciden varias personas)
41701055,Buen centro
41701377,Buen centro
41701766,Buen centro
41701924,"MALO (Estuvo Sergio, es de compensatoria. Muchos gitanos)."
41702047,Malo. Alumnado disruptivo (estuvo Toni Salvador)
