Provincia,codigo,Nombre Centro
Cádiz,11700986C,I.E.S. Castillo de Fatetar
Cádiz,11700998C,I.E.S. Sierra de Grazalema
Cádiz,11701000C,I.E.S. La Campiña
Cádiz,11701012C,I.E.S. Sierra Almenara
Cádiz,11001890C,I.E.S. Fernando Savater
Cádiz,11003205C,I.E.S. Padre Luis Coloma
Cádiz,11003217C,I.E.S. Alvar Núñez
Cádiz,11003230C,I.E.S. La Granja
Cádiz,11003382C,E.A.S.D. Jerez
Cádiz,11007387C,I.E.S. Asta Regia
Cádiz,11008483C,I.E.S. José M. Caballero Bonald
Cádiz,11008513C,I.E.S. Andrés Benítez
Cádiz,11012267C,I.E.S. Elena García Armada
Cádiz,11700160C,I.E.S. Almunia
Cádiz,11700172C,I.E.S. Santa Isabel de Hungría
Cádiz,11700767C,I.E.S. Seritium
Cádiz,11701115C,I.E.S. San Telmo (CdA)
Cádiz,11701127C,I.E.S. Dra. Josefa de los Reyes
Cádiz,11701139C,I.E.S. Lola Flores
Cádiz,11701140C,I.E.S. Sofía
Cádiz,11700184C,I.E.S. Hozgarganta
Cádiz,11700482C,I.E.S. Vega de Guadalete
Cádiz,11003862C,I.E.S. Tolosa
Cádiz,11003874C,I.E.S. Mediterráneo
Cádiz,11003886C,I.E.S. Virgen de la Esperanza
Cádiz,11003916C,I.E.S. Mar de Poniente
Cádiz,11000289C,I.E.S. Carlos Cano
Cádiz,11700561C,I.E.S. Sierra Luna
Cádiz,11004039C,I.E.S. Sidón
Cádiz,11007910C,I.E.S. San Juan de Dios
Cádiz,11000630C,I.E.S. Sierra de Líjar
Cádiz,11006671C,I.E.S. Zaframagón
Cádiz,11700780C,I.E.S. Paterna
Cádiz,11700500C,I.E.S. Carlos III
Cádiz,11004672C,I.E.S. Manuel de Falla
Cádiz,11004696C,I.E.S. Virgen del Carmen
Cádiz,11700433C,I.E.S. Profesor Antonio Muro
Cádiz,11700718C,I.E.S. La Jarcia
Cádiz,11700640C,I.E.S. Vía Verde
Cádiz,11701231C,I.E.S. La Algaida
Cádiz,11701036C,I.E.S. Roche
Cádiz,11004866C,I.E.S. Castillo de Luna
Cádiz,11007533C,I.E.S. Arroyo Hondo
Cádiz,11701164C,I.E.S. Astaroth
Cádiz,11002651C,I.E.S. Botánico
Cádiz,11005241C,I.E.S. Isla de León
Cádiz,11005275C,I.E.S. Las Salinas
Cádiz,11005287C,I.E.S. Wenceslao Benítez
Cádiz,11008239C,I.E.S. Sancti Petri
Cádiz,11009487C,C.P.I.F.P. Marítimo Zaporito
Cádiz,11700147C,I.E.S. La Bahía
Cádiz,11700512C,I.E.S. Jorge Juan
